numUavs,k,covered
6,0.5,0.38793266666666665
6,1.0,0.5933800000000001
6,1.5,0.6365433333333333
6,2.0,0.5049326666666667
6,2.5,0.6593186666666667
6,3.0,0.6000666666666666
6,3.5,0.5424323333333333
6,4.0,0.651954
6,4.5,0.5460676666666667
8,0.5,0.6396253333333334
8,1.0,0.718123
8,1.5,0.675207
8,2.0,0.7350120000000001
8,2.5,0.8179646666666667
8,3.0,0.6750376666666668
8,3.5,0.8003806666666667
8,4.0,0.7802370000000001
8,4.5,0.7008976666666666
10,0.5,0.7037016666666666
10,1.0,0.6145683333333334
10,1.5,0.6606276666666667
10,2.0,0.7106026666666666
10,2.5,0.8565506666666667
10,3.0,0.8380326666666668
10,3.5,0.8943306666666665
10,4.0,0.9821799999999999
10,4.5,0.9356263333333333
---------------------------------- Di Felice K
6,0.5,0.468965
6,1.0,0.44087866666666664
6,1.5,0.5515533333333333
6,2.0,0.44242966666666667
6,2.5,0.479484
6,3.0,0.40404666666666667
6,3.5,0.5310956666666667
6,4.0,0.541565
6,4.5,0.45383833333333334
8,0.5,0.38717399999999996
8,1.0,0.484698
8,1.5,0.5262826666666666
8,2.0,0.4278666666666666
8,2.5,0.5675199999999999
8,3.0,0.63813
8,3.5,0.5675116666666666
8,4.0,0.637166
8,4.5,0.566842
10,0.5,0.6021396666666666
10,1.0,0.5587766666666667

-------------------------------- Team members 10 Di felice
6,0.5,0.32028799999999996
6,1.0,0.2871323333333333
6,1.5,0.336107
6,2.0,0.32430666666666663
6,2.5,0.300211
6,3.0,0.3776333333333333
6,3.5,0.299422
6,4.0,0.32999833333333334
6,4.5,0.24111500000000005
8,0.5,0.3304483333333333
8,1.0,0.4311323333333333

---------------------------- Team members 10 Mine
6,0.5,0.48879999999999996
6,1.0,0.5642263333333334
6,1.5,0.510783
6,2.0,0.7441720000000002
6,2.5,0.7001390000000001
6,3.0,0.7535769999999999
6,3.5,0.6675283333333334
6,4.0,0.4934523333333333
6,4.5,0.5589853333333333
8,0.5,0.6706296666666667
8,1.0,0.598955
8,1.5,0.5264243333333334
8,2.0,0.7968373333333334
8,2.5,0.5725693333333334
8,3.0,0.785265
8,3.5,0.8053473333333333
8,4.0,0.8626813333333333
8,4.5,0.736763
10,0.5,0.691329

------------------------ Team members 5 mine
6,0.5,0.3695736666666667
6,1.0,0.3858376666666667
6,1.5,0.27403700000000003
6,2.0,0.28534266666666663
6,2.5,0.28331933333333337
6,3.0,0.2866653333333333
6,3.5,0.36206999999999995
6,4.0,0.41566333333333333
6,4.5,0.4169863333333333
8,0.5,0.45754
8,1.0,0.268623
8,1.5,0.46155300000000005
8,2.0,0.484976
8,2.5,0.4997163333333334
8,3.0,0.40682533333333337
8,3.5,0.46295366666666665
